F1900  SITELEN PONA IDEOGRAPH A
F1901  SITELEN PONA IDEOGRAPH AKESI
F1902  SITELEN PONA IDEOGRAPH ALA
F1903  SITELEN PONA IDEOGRAPH ALASA
F1904  SITELEN PONA IDEOGRAPH ALE
F1905  SITELEN PONA IDEOGRAPH ANPA
F1906  SITELEN PONA IDEOGRAPH ANTE
F1907  SITELEN PONA IDEOGRAPH ANU
F1908  SITELEN PONA IDEOGRAPH AWEN
F1909  SITELEN PONA IDEOGRAPH E
F190A  SITELEN PONA IDEOGRAPH EN
F190B  SITELEN PONA IDEOGRAPH ESUN
F190C  SITELEN PONA IDEOGRAPH IJO
F190D  SITELEN PONA IDEOGRAPH IKE
F190E  SITELEN PONA IDEOGRAPH ILO
F190F  SITELEN PONA IDEOGRAPH INSA
F1910  SITELEN PONA IDEOGRAPH JAKI
F1911  SITELEN PONA IDEOGRAPH JAN
F1912  SITELEN PONA IDEOGRAPH JELO
F1913  SITELEN PONA IDEOGRAPH JO
F1914  SITELEN PONA IDEOGRAPH KALA
F1915  SITELEN PONA IDEOGRAPH KALAMA
F1916  SITELEN PONA IDEOGRAPH KAMA
F1917  SITELEN PONA IDEOGRAPH KASI
F1918  SITELEN PONA IDEOGRAPH KEN
F1919  SITELEN PONA IDEOGRAPH KEPEKEN
F191A  SITELEN PONA IDEOGRAPH KILI
F191B  SITELEN PONA IDEOGRAPH KIWEN
F191C  SITELEN PONA IDEOGRAPH KO
F191D  SITELEN PONA IDEOGRAPH KON
F191E  SITELEN PONA IDEOGRAPH KULE
F191F  SITELEN PONA IDEOGRAPH KULUPU
F1920  SITELEN PONA IDEOGRAPH KUTE
F1921  SITELEN PONA IDEOGRAPH LA
F1922  SITELEN PONA IDEOGRAPH LAPE
F1923  SITELEN PONA IDEOGRAPH LASO
F1924  SITELEN PONA IDEOGRAPH LAWA
F1925  SITELEN PONA IDEOGRAPH LEN
F1926  SITELEN PONA IDEOGRAPH LETE
F1927  SITELEN PONA IDEOGRAPH LI
F1928  SITELEN PONA IDEOGRAPH LILI
F1929  SITELEN PONA IDEOGRAPH LINJA
F192A  SITELEN PONA IDEOGRAPH LIPU
F192B  SITELEN PONA IDEOGRAPH LOJE
F192C  SITELEN PONA IDEOGRAPH LON
F192D  SITELEN PONA IDEOGRAPH LUKA
F192E  SITELEN PONA IDEOGRAPH LUKIN
F192F  SITELEN PONA IDEOGRAPH LUPA
F1930  SITELEN PONA IDEOGRAPH MA
F1931  SITELEN PONA IDEOGRAPH MAMA
F1932  SITELEN PONA IDEOGRAPH MANI
F1933  SITELEN PONA IDEOGRAPH MELI
F1934  SITELEN PONA IDEOGRAPH MI
F1935  SITELEN PONA IDEOGRAPH MIJE
F1936  SITELEN PONA IDEOGRAPH MOKU
F1937  SITELEN PONA IDEOGRAPH MOLI
F1938  SITELEN PONA IDEOGRAPH MONSI
F1939  SITELEN PONA IDEOGRAPH MU
F193A  SITELEN PONA IDEOGRAPH MUN
F193B  SITELEN PONA IDEOGRAPH MUSI
F193C  SITELEN PONA IDEOGRAPH MUTE
F193D  SITELEN PONA IDEOGRAPH NANPA
F193E  SITELEN PONA IDEOGRAPH NASA
F193F  SITELEN PONA IDEOGRAPH NASIN
F1940  SITELEN PONA IDEOGRAPH NENA
F1941  SITELEN PONA IDEOGRAPH NI
F1942  SITELEN PONA IDEOGRAPH NIMI
F1943  SITELEN PONA IDEOGRAPH NOKA
F1944  SITELEN PONA IDEOGRAPH O
F1945  SITELEN PONA IDEOGRAPH OLIN
F1946  SITELEN PONA IDEOGRAPH ONA
F1947  SITELEN PONA IDEOGRAPH OPEN
F1948  SITELEN PONA IDEOGRAPH PAKALA
F1949  SITELEN PONA IDEOGRAPH PALI
F194A  SITELEN PONA IDEOGRAPH PALISA
F194B  SITELEN PONA IDEOGRAPH PAN
F194C  SITELEN PONA IDEOGRAPH PANA
F194D  SITELEN PONA IDEOGRAPH PI
F194E  SITELEN PONA IDEOGRAPH PILIN
F194F  SITELEN PONA IDEOGRAPH PIMEJA
F1950  SITELEN PONA IDEOGRAPH PINI
F1951  SITELEN PONA IDEOGRAPH PIPI
F1952  SITELEN PONA IDEOGRAPH POKA
F1953  SITELEN PONA IDEOGRAPH POKI
F1954  SITELEN PONA IDEOGRAPH PONA
F1955  SITELEN PONA IDEOGRAPH PU
F1956  SITELEN PONA IDEOGRAPH SAMA
F1957  SITELEN PONA IDEOGRAPH SELI
F1958  SITELEN PONA IDEOGRAPH SELO
F1959  SITELEN PONA IDEOGRAPH SEME
F195A  SITELEN PONA IDEOGRAPH SEWI
F195B  SITELEN PONA IDEOGRAPH SIJELO
F195C  SITELEN PONA IDEOGRAPH SIKE
F195D  SITELEN PONA IDEOGRAPH SIN
F195E  SITELEN PONA IDEOGRAPH SINA
F195F  SITELEN PONA IDEOGRAPH SINPIN
F1960  SITELEN PONA IDEOGRAPH SITELEN
F1961  SITELEN PONA IDEOGRAPH SONA
F1962  SITELEN PONA IDEOGRAPH SOWELI
F1963  SITELEN PONA IDEOGRAPH SULI
F1964  SITELEN PONA IDEOGRAPH SUNO
F1965  SITELEN PONA IDEOGRAPH SUPA
F1966  SITELEN PONA IDEOGRAPH SUWI
